POA_NAME21,district_label,member,party,pct_area
3321,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,60.87
3321,Polwarth District,"RIORDAN, Richard",Liberal,39.12
3322,Polwarth District,"RIORDAN, Richard",Liberal,61.02
3322,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,38.98
3323,Polwarth District,"RIORDAN, Richard",Liberal,96.02
3323,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,3.98
3329,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,89.0
3329,Polwarth District,"RIORDAN, Richard",Liberal,11.0
3331,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,61.84
3331,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,38.11
3335,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,62.84
3335,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,20.17
3335,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,16.98
3336,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,62.99
3336,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,37.0
3337,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,98.61
3337,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,1.31
3338,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,74.3
3338,Werribee District,"PALLAS, Tim",Australian Labor Party - Victorian Branch,25.69
3340,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,57.92
3340,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,19.48
3340,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,11.92
3340,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,10.67
3341,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,78.51
3341,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,21.49
3350,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,54.79
3350,Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,35.66
3350,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,9.55
3351,Lowan District,"KEALY, Emma",The Nationals,47.05
3351,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,35.14
3351,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,17.78
3352,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,50.3
3352,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,47.75
3352,Polwarth District,"RIORDAN, Richard",Liberal,1.78
3352,Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,0.17
3355,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,64.73
3355,Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,35.27
3360,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,51.1
3360,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,48.89
3361,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,78.81
3361,Polwarth District,"RIORDAN, Richard",Liberal,21.18
3364,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,80.3
3364,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,15.32
3364,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,3.61
3364,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,0.77
3374,Lowan District,"KEALY, Emma",The Nationals,89.27
3374,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,10.73
3377,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,60.36
3377,Lowan District,"KEALY, Emma",The Nationals,39.64
3378,Lowan District,"KEALY, Emma",The Nationals,53.5
3378,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,46.5
3384,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,63.39
3384,Lowan District,"KEALY, Emma",The Nationals,36.61
3387,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,79.96
3387,Lowan District,"KEALY, Emma",The Nationals,20.04
3388,Lowan District,"KEALY, Emma",The Nationals,83.74
3388,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,16.26
3393,Lowan District,"KEALY, Emma",The Nationals,91.31
3393,Mildura District,"BENHAM, Jade",The Nationals,8.69
3395,Mildura District,"BENHAM, Jade",The Nationals,89.68
3395,Lowan District,"KEALY, Emma",The Nationals,10.32
3424,Lowan District,"KEALY, Emma",The Nationals,62.89
3424,Mildura District,"BENHAM, Jade",The Nationals,37.11
3430,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,82.82
3430,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,17.08
3435,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,68.02
3435,Euroa District,"CLEELAND, Annabelle",The Nationals,31.98
3444,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,69.84
3444,Euroa District,"CLEELAND, Annabelle",The Nationals,30.16
3451,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,65.65
3451,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,34.35
3453,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,69.53
3453,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,30.47
3458,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,99.2
3458,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,0.8
3460,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,98.0
3460,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,2.0
3461,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,92.8
3461,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,4.9
3461,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,2.29
3463,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,80.95
3463,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,19.05
3464,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,89.45
3464,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,10.55
3465,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,98.59
3465,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,1.41
